Car ID,Car Name,Brand,Model Year,Fuel Type,Transmission,Color
1,Civic,Honda,2020,Petrol,Automatic,White
2,Model 3,Tesla,2022,Electric,Automatic,Red
3,Corolla,Toyota,2019,Diesel,Manual,Silver
4,Mustang,Ford,2021,Petrol,Automatic,Yellow
5,Creta,Hyundai,2023,Diesel,Manual,Black
6,Swift,Suzuki,2018,Petrol,Manual,Blue
7,Fortuner,Toyota,2022,Diesel,Automatic,Grey
8,City,Honda,2021,Petrol,CVT,Red
9,i20,Hyundai,2020,Petrol,Manual,Blue
10,Compass,Jeep,2021,Diesel,Automatic,Black
31,venemo,lamborghini,2015,petrol,automatic,grey
